geometry,id,nom,departement_code,departement_nom,type_zone,niveau,niveau_label,severity,debut,fin,arrete_numero,detail,date_maj
"{""type"":""MultiPolygon"",""coordinates"":[[[[0.206091651,42.864767326],[0.0337303,42.959440558],[0.072336639,43.380071501],[0.031323579,43.473925997],[-0.016588328,43.444778678],[-0.010243054,43.553352867],[-0.094110637,43.543925592],[-0.044650931,43.613317309],[0.099349106,43.415958479],[0.114892427,43.126841373],[0.329239845,42.944928763],[0.206091651,42.864767326]]],[[[0.004180497,43.410228965],[-0.001468109,43.403448494],[0.005427945,43.412940496],[0.004180497,43.410228965]]]]}",1978301,BV de l'Adour,65,Hautes-Pyrénées,SUP,alerte,Alerte,2,2026-07-11,2026-10-31,65-2026-07-10-00004,"Eaux de surface<br><b style=""color:orange"">Alerte</b><br>11 juil. 2026→31 oct. 2026<br><i>BV de l'Adour</i>",12 juil. 2026
"{""type"":""MultiPolygon"",""coordinates"":[[[[0.550374678,43.080435448],[0.54061012,43.080213784],[0.534544044,43.082606562],[0.550374678,43.080435448]]],[[[0.414091919,43.100590464],[0.532606336,43.093801113],[0.495873481,43.10824806],[0.414091919,43.100590464]]],[[[0.420514348,43.104579252],[0.422132096,43.104055626],[0.426969373,43.10514697],[0.420514348,43.104579252]]],[[[0.448121728,43.11097102],[0.45041423,43.111173907],[0.451203349,43.11230865],[0.448121728,43.11097102]]],[[[0.481845288,43.111860185],[0.489138713,43.115374565],[0.474949353,43.111834435],[0.481845288,43.111860185]]]]}",1978302,BV du Lavet,65,Hautes-Pyrénées,SOU,alerte,Alerte,2,2026-07-11,2026-10-31,65-2026-07-09-00011,"Eaux souterraines<br><b style=""color:orange"">Alerte</b><br>11 juil. 2026→31 oct. 2026<br><i>BV du Lavet</i>",12 juil. 2026
"{""type"":""Polygon"",""coordinates"":[[[0.41378618,43.100335557],[0.378553255,42.95649908],[0.334379839,43.344031206],[0.633706387,43.301385313],[0.44168171,43.130964139],[0.503009987,43.105460313],[0.41378618,43.100335557]],[[0.420514348,43.104579252],[0.426510692,43.105047496],[0.426969373,43.10514697],[0.420514348,43.104579252]],[[0.448121728,43.11097102],[0.45041423,43.111173907],[0.451203349,43.11230865],[0.448121728,43.11097102]],[[0.575030447,43.309314334],[0.575021828,43.309315735],[0.575006184,43.30926974],[0.575030447,43.309314334]]]}",1978303,BV du système Neste,65,Hautes-Pyrénées,SUP,alerte,Alerte,2,2026-07-11,2026-10-31,65-2026-07-09-00011,"Eaux de surface<br><b style=""color:orange"">Alerte</b><br>11 juil. 2026→31 oct. 2026<br><i>BV du système Neste</i>",12 juil. 2026
"{""type"":""MultiPolygon"",""coordinates"":[[[[0.616549639,43.289459422],[0.614269283,43.289642188],[0.635655522,43.301233118],[0.616549639,43.289459422]]],[[[0.596557638,43.273920518],[0.595577185,43.275063955],[0.604195509,43.276272419],[0.596557638,43.273920518]]],[[[0.578498596,43.253741435],[0.552368614,43.235415076],[0.550703932,43.235554747],[0.54987997,43.236621516],[0.565437796,43.253390263],[0.578498596,43.253741435]]]]}",1978304,La Gimone,65,Hautes-Pyrénées,SUP,alerte,Alerte,2,2026-07-11,2026-10-31,65-2026-07-09-00011,"Eaux de surface<br><b style=""color:orange"">Alerte</b><br>11 juil. 2026→31 oct. 2026<br><i>La Gimone</i>",12 juil. 2026
"{""type"":""MultiPolygon"",""coordinates"":[[[[0.595577185,43.275063955],[0.596557638,43.273920518],[0.604195509,43.276272419],[0.595577185,43.275063955]]],[[[0.578498596,43.253741435],[0.552368614,43.235415076],[0.550703932,43.235554747],[0.54987997,43.236621516],[0.565437796,43.253390263],[0.578498596,43.253741435]]],[[[0.614269283,43.289642188],[0.611585893,43.276610807],[0.61526546,43.279400972],[0.616549639,43.289459422],[0.634556757,43.293535047],[0.635655522,43.301233118],[0.614269283,43.289642188]]]]}",1978305,La Gimone,65,Hautes-Pyrénées,SOU,alerte,Alerte,2,2026-07-11,2026-10-31,65-2026-07-09-00011,"Eaux souterraines<br><b style=""color:orange"">Alerte</b><br>11 juil. 2026→31 oct. 2026<br><i>La Gimone</i>",12 juil. 2026
"{""type"":""Polygon"",""coordinates"":[[[0.334720215,43.105064364],[0.240092654,43.352978912],[0.27923424,43.386573442],[0.330403037,43.328297083],[0.334720215,43.105064364]]]}",1978306,BV du Bouès,65,Hautes-Pyrénées,SUP,alerte,Alerte,2,2026-07-11,2026-10-31,65-2026-07-09-00011,"Eaux de surface<br><b style=""color:orange"">Alerte</b><br>11 juil. 2026→31 oct. 2026<br><i>BV du Bouès</i>",12 juil. 2026
"{""type"":""Polygon"",""coordinates"":[[[0.41378618,43.100335557],[0.378553255,42.95649908],[0.334379839,43.344031206],[0.633706387,43.301385313],[0.44168171,43.130964139],[0.503009987,43.105460313],[0.41378618,43.100335557]],[[0.420514348,43.104579252],[0.426510692,43.105047496],[0.426969373,43.10514697],[0.420514348,43.104579252]],[[0.448121728,43.11097102],[0.45041423,43.111173907],[0.451203349,43.11230865],[0.448121728,43.11097102]],[[0.575030447,43.309314334],[0.575021828,43.309315735],[0.575006184,43.30926974],[0.575030447,43.309314334]]]}",1978307,BV du système Neste,65,Hautes-Pyrénées,SOU,alerte,Alerte,2,2026-07-11,2026-10-31,65-2026-07-09-00011,"Eaux souterraines<br><b style=""color:orange"">Alerte</b><br>11 juil. 2026→31 oct. 2026<br><i>BV du système Neste</i>",12 juil. 2026
"{""type"":""MultiPolygon"",""coordinates"":[[[[-1.114746,45.646439],[-1.228367,45.67486],[-1.243655,45.778876],[-1.133945,45.801959],[-1.177036,45.853518],[-1.079137,45.901652],[-1.12136,46.002462],[-1.054879,46.031829],[-1.240866,46.163048],[-1.053691,46.349516],[-0.799507,46.342245],[-0.619189,46.137373],[-0.192287,46.054527],[-0.086479,45.950916],[-0.15123,45.926711],[-0.111355,45.871838],[-0.156014,45.779651],[-0.463158,45.751827],[-0.399834,45.735517],[-0.432673,45.625045],[-0.24166,45.502621],[-0.284384,45.308951],[-0.108793,45.289722],[0.004849,45.153871],[-0.152316,45.088739],[-0.383484,45.143553],[-0.41877,45.273842],[-0.752677,45.321766],[-1.014559,45.617119],[-1.114746,45.646439]]],[[[-1.173793,45.857162],[-1.174455,45.856958],[-1.174357,45.857252],[-1.173793,45.857162]]],[[[-1.233512,45.967328],[-1.233297,45.963889],[-1.233629,45.967292],[-1.233512,45.967328]]],[[[-1.233616,45.967671],[-1.234744,45.965985],[-1.234544,45.964906],[-1.23481,45.96599],[-1.234695,45.966591],[-1.233832,45.9682],[-1.234308,45.968995],[-1.233853,45.969052],[-1.233616,45.967671]]],[[[-1.371982,46.167819],[-1.373778,46.16851],[-1.374047,46.168673],[-1.371982,46.167819]]],[[[-1.252709,46.162577],[-1.534687,46.202372],[-1.562435,46.244627],[-1.252709,46.162577]]],[[[-1.098382,45.640753],[-1.098222,45.64042],[-1.098724,45.640524],[-1.098382,45.640753]]],[[[-1.167162,46.019922],[-1.174139,46.007116],[-1.154335,46.01874],[-1.167162,46.019922]]],[[[-1.142584,46.003515],[-1.143528,46.003507],[-1.143402,46.003878],[-1.142584,46.003515]]],[[[-1.213844,45.999867],[-1.214018,45.99941],[-1.214232,45.99984],[-1.213844,45.999867]]],[[[-1.112372,45.96159],[-1.116896,45.952495],[-1.120392,45.960991],[-1.112372,45.96159]]],[[[-1.194482,45.883563],[-1.194057,45.88355],[-1.194178,45.883463],[-1.194482,45.883563]]],[[[-1.193538,45.883935],[-1.189116,45.88231],[-1.195243,45.882316],[-1.193538,45.883935]]],[[[-1.233234,45.806803],[-1.233991,45.807242],[-1.233428,45.80705],[-1.23204,45.807175],[-1.233234,45.806803]]],[[[-1.236115,45.807073],[-1.235876,45.806965],[-1.236176,45.806967],[-1.236115,45.807073]]],[[[-1.233845,45.807408],[-1.233609,45.807372],[-1.233713,45.807218],[-1.233845,45.807408]]],[[[-1.194941,45.82962],[-1.386575,45.95369],[-1.411909,46.04769],[-1.23671,45.985726],[-1.24463,45.964498],[-1.233242,45.922186],[-1.187929,45.886586],[-1.19522,45.884478],[-1.195357,45.882261],[-1.192402,45.881552],[-1.194111,45.872299],[-1.202245,45.875705],[-1.187313,45.85958],[-1.214534,45.849706],[-1.194941,45.82962]]],[[[-1.226282,45.935661],[-1.226165,45.936535],[-1.22601,45.938219],[-1.225741,45.936859],[-1.226282,45.935661]]],[[[-1.235048,45.960568],[-1.234343,45.962647],[-1.23413,45.962735],[-1.235048,45.960568]]]]}",1980164,Zone AEP départementale,17,Charente-Maritime,AEP,alerte,Alerte,2,2026-07-11,2026-10-31,26EB473,"Eau du robinet<br><b style=""color:orange"">Alerte</b><br>11 juil. 2026→31 oct. 2026<br><i>Zone AEP départementale</i>",12 juil. 2026
"{""type"":""Polygon"",""coordinates"":[[[-0.949433681,45.654118129],[-0.624822557,45.608708677],[-0.613231802,45.533690934],[-0.949433681,45.654118129]]]}",1980138,Bassin de la Seudre moyenne,17,Charente-Maritime,SUP,alerte,Alerte,2,2026-07-09,2026-10-31,26EB467,"Eaux de surface<br><b style=""color:orange"">Alerte</b><br>9 juil. 2026→31 oct. 2026<br><i>Bassin de la Seudre moyenne</i>",12 juil. 2026
"{""type"":""Polygon"",""coordinates"":[[[-0.847652577,45.875325964],[-0.685063525,45.851849416],[-0.687541918,45.769201734],[-0.822926784,45.809703552],[-0.847652577,45.875325964]]]}",1980139,Bassin du Bruant,17,Charente-Maritime,SUP,alerte,Alerte,2,2026-07-09,2026-10-31,26EB467,"Eaux de surface<br><b style=""color:orange"">Alerte</b><br>9 juil. 2026→31 oct. 2026<br><i>Bassin du Bruant</i>",12 juil. 2026
